Topic ID,bigram,count,Topic ID,bigram,count
0,"('#mev', '#flashbots')",16,0,"('extractable', 'value')",22
1,"('#crucible', '#copper')",11,1,"('#mev', '#flashbots')",16
2,"('#flashbots', '$mist')",9,2,"('macri', 'macri')",15
3,"('$mist', 'âš—ï¸')",9,3,"('miner', 'extractable')",13
4,"('#flashbots', '#mev')",9,4,"('front', 'running')",13
5,"('#flashbots', 'team')",8,5,"('#consentidxs', '#mev')",13
6,"('#mistx', '#flashbots')",7,6,"('#defi', '#mev')",12
7,"('$mist', '#mistx')",7,7,"('#cpb', '#mev')",11
8,"('#flashbots', '#poap')",6,8,"('ğŸ’œ', 'ğŸ’œ')",10
9,"('#samiches', '#flashbots')",6,9,"('#mev', 'solution')",9
10,"('#alchemist', '#alchemistcoin')",6,10,"('smart', 'contract')",9
11,"('#flashbots', 'v02')",6,11,"('#flashbots', '#mev')",9
12,"('gas', 'price')",6,12,"('#mev', '#ethereum')",8
13,"('$mist', '#crucible')",5,13,"('#prinsjesdag', '#mev')",8
14,"('alchemist', 'radio')",5,14,"('#macri', '#macri')",8
15,"('âš—ï¸', '$mist')",5,15,"('stay', 'tuned')",7
16,"('#mistx', '#crucible')",5,16,"('#mh', '#mev')",7
17,"('#copper', '#flashbots')",5,17,"('#mev', '#mehwishhayat')",7
18,"('$mist', '#flashbots')",5,18,"('extractable', 'value)')",7
19,"('support', 'new')",4,19,"('#mev', '#defi')",7
20,"('new', 'artist')",4,20,"('sobre', '#mev')",7
21,"('artist', 'help')",4,21,"('look', 'like')",6
22,"('help', 'u')",4,22,"('solution', '#mev')",6
23,"('u', 'grow')",4,23,"('del', '#mev')",6
24,"('grow', 'shill')",4,24,"('#crypto', '#defi')",6
25,"('shill', 'shizzlebotz')",4,25,"('level', '#domainname')",6
26,"('shizzlebotz', '#nftshill')",4,26,"('sandwich', 'attack')",5
27,"('#nftshill', '#polygonnft')",4,27,"('ğŸ’œ', '@mehwishhayat')",5
28,"('#polygonnft', '#flashbots')",4,28,"('@mehwishhayat', 'ğŸ’œ')",5
29,"('#flashbots', '@opensea')",4,29,"('ğŸ’œ', '#mh')",5
30,"('@opensea', '#openseanftâ›µ')",4,30,"('#mehwishhayat', 'ğŸ’œ')",5
31,"('stay', 'tuned')",4,31,"('ğŸ’œ', '#mehwishhsource')",5
32,"('#flashbots', 'protect')",4,32,"('#mev', '$eth')",5
33,"('dark', 'forest')",4,33,"('#frontrunning', '#mev')",5
34,"('#copper', '#mistx')",4,34,"('#mev', '#crypto')",5
35,"('#copper', '#samiches')",4,35,"('$mist', 'âš—ï¸')",5
36,"('$mist', '@_alchemistcoin')",4,36,"('join', 'u')",5
37,"('$mist', '$mistx')",4,37,"('fair', 'sequencing')",5
38,"('$mistx', '#crucible')",4,38,"('sequencing', 'service')",5
39,"('#flashbots', 'community')",4,39,"('#mev', 'front')",5
40,"('per', 'block')",4,40,"('$7600', 'phenomenal')",5
41,"('transparency', 'report')",4,41,"('phenomenal', 'top')",5
42,"('white', 'hat')",4,42,"('top', 'level')",5
43,"('miner', 'extractable')",3,43,"('#domainname', 'sale')",5
44,"('extractable', 'value')",3,44,"('sale', '#mev')",5
45,"('@bertcmiller', '#flashbots')",3,45,"('#mev', '#machinelearning')",5
46,"('$mist', '$uni')",3,46,"('#machinelearning', '#datascience')",5
47,"('@_alchemistcoin', '@thegostep')",3,47,"('#datascience', '#python')",5
48,"('crucible', 'session')",3,48,"('#python', '#ai')",5
49,"('utc', '/')",3,49,"('#ai', '#100daysofcode')",5